video_id,frame_idx,n_poses_detected,s_official,gt_label,tier_blind,tier_uncert,tier_sample,candidate,queried,routed_reason
01_0014,0,0,0.7706783335805132,0,True,True,True,True,True,blind
01_0014,1,0,0.7748620561600015,0,True,True,False,True,False,
01_0014,2,0,0.7831646627951064,0,True,True,False,True,False,
01_0014,3,0,0.7954573636951905,0,True,True,False,True,False,
01_0014,4,0,0.8115492569073204,0,True,True,False,True,False,
01_0014,5,0,0.8311902346704866,0,True,True,False,True,False,
01_0014,6,0,0.8540750977143851,0,True,True,False,True,False,
01_0014,7,0,0.8798490100101104,0,True,True,False,True,False,
01_0014,8,0,0.9081143818370824,0,True,True,False,True,False,
01_0014,9,0,0.9384391904337014,0,True,True,False,True,False,
01_0014,10,0,0.9703666426429254,0,True,True,False,True,False,
01_0014,11,0,1.0034259647205148,0,True,True,False,True,False,
01_0014,12,2,1.0371439852986373,0,False,True,False,True,True,uncertain
01_0014,13,2,1.0710570734874472,0,False,True,False,True,False,
01_0014,14,2,1.1047229189764516,0,False,True,False,True,False,
01_0014,15,2,1.1377316053149014,0,False,True,False,True,False,
01_0014,16,2,1.16971543732999,0,False,True,False,True,False,
01_0014,17,2,1.2003570396576648,0,False,True,False,True,False,
01_0014,18,2,1.2293953411161926,0,False,True,False,True,False,
01_0014,19,2,1.2566291900345707,0,False,True,False,True,False,
01_0014,20,2,1.2819184961443768,0,False,True,False,True,False,
01_0014,21,2,1.3051829509302535,0,False,True,False,True,False,
01_0014,22,2,1.3263985260019433,0,False,True,False,True,False,
01_0014,23,2,1.3455920752419932,0,False,True,False,True,False,
01_0014,24,2,1.3628344612301797,0,False,True,False,True,False,
01_0014,25,2,1.37823268356441,0,False,True,False,True,False,
01_0014,26,2,1.391921504161696,0,False,True,False,True,False,
01_0014,27,2,1.4040550444164825,0,False,True,False,True,False,
01_0014,28,2,1.4147987766175047,0,False,True,False,True,False,
01_0014,29,2,1.4243222551701231,0,False,True,False,True,False,
01_0014,30,2,1.432792841219345,0,False,True,False,True,False,
01_0014,31,2,1.440370576762741,0,False,True,False,True,False,
01_0014,32,2,1.4472042700771142,0,False,True,False,True,False,
01_0014,33,2,1.4534287705123567,0,False,True,False,True,False,
01_0014,34,2,1.4591633426339237,0,False,True,False,True,False,
01_0014,35,2,1.4645110002632744,0,False,True,False,True,False,
01_0014,36,2,1.4695586309197544,0,False,True,False,True,False,
01_0014,37,2,1.4743777293505989,0,False,True,False,True,False,
